Yas;Departman;Evden_Uzaklik;Egitim_Seviyesi;Egitim_Alani;Cinsiyet;Is_Memnuniyeti;Medeni_Durum;Aylik_Gelir;Onceki_Sirket_Sayisi;Fazla_Mesai;Toplam_Calisma_Yili;Sirketteki_Yil;Son_Terfi_Suresi;Is_Seyahati;Is_Yasam_Dengesi;Is_Seviyesi;Maas_Artis_Yuzdesi;Ortam_Memnuniyeti;Mevcut_Mudurle_Yil;Istifa
34;Araştırma ve Geliştirme;6;1;Tıp;Erkek;1;Bekar;2960;2;Hayır;8;4;1;Nadiren_Seyahat;3;1;11;2;3;Evet
53;Araştırma ve Geliştirme;5;3;Diğer;Kadın;3;Boşanmış;19094;4;Hayır;26;14;4;Nadiren_Seyahat;2;5;11;3;8;Hayır
32;Araştırma ve Geliştirme;16;1;Yaşam Bilimleri;Kadın;1;Bekar;3919;1;Evet;10;10;6;Sık_Seyahat;3;1;22;2;7;Evet
42;Satış;8;4;Pazarlama;Erkek;2;Evli;6825;0;Hayır;10;9;4;Nadiren_Seyahat;3;2;11;3;2;Hayır
44;Araştırma ve Geliştirme;7;4;Tıp;Kadın;4;Evli;10248;3;Hayır;24;22;5;Nadiren_Seyahat;3;3;14;1;17;Hayır
46;Satış;2;4;Pazarlama;Kadın;1;Bekar;18947;3;Hayır;22;2;2;Nadiren_Seyahat;2;5;12;2;1;Hayır
33;Araştırma ve Geliştirme;2;3;Tıp;Erkek;4;Bekar;2496;4;Hayır;7;1;0;Nadiren_Seyahat;3;1;11;3;0;Hayır
44;Araştırma ve Geliştirme;10;4;Diğer;Erkek;4;Evli;6465;2;Evet;9;4;1;Nadiren_Seyahat;4;2;13;4;3;Hayır
30;Araştırma ve Geliştirme;9;2;Tıp;Erkek;3;Bekar;2206;1;Hayır;10;10;1;Nadiren_Seyahat;3;1;13;4;8;Hayır
39;Satış;5;3;Teknik Derece;Erkek;4;Evli;2086;3;Hayır;19;1;0;Nadiren_Seyahat;4;2;14;4;0;Evet
24;Araştırma ve Geliştirme;1;3;Tıp;Erkek;4;Evli;2293;2;Evet;6;2;2;Nadiren_Seyahat;2;1;16;2;0;Evet
43;Araştırma ve Geliştirme;2;2;Tıp;Kadın;3;Boşanmış;2645;1;Hayır;6;5;1;Nadiren_Seyahat;2;1;12;4;4;Hayır
50;Satış;3;2;Pazarlama;Erkek;3;Evli;2683;1;Evet;3;3;0;Nadiren_Seyahat;3;1;14;1;2;Evet
35;Satış;2;3;Pazarlama;Kadın;4;Evli;2014;1;Hayır;2;2;2;Nadiren_Seyahat;3;1;13;4;2;Hayır
36;Araştırma ve Geliştirme;5;4;Yaşam Bilimleri;Kadın;1;Evli;3419;9;Evet;6;1;0;Nadiren_Seyahat;4;1;14;2;0;Hayır
33;Satış;1;3;Yaşam Bilimleri;Kadın;1;Evli;5376;2;Hayır;10;5;1;Sık_Seyahat;3;2;19;3;3;Hayır
35;Araştırma ve Geliştirme;4;2;Diğer;Erkek;4;Boşanmış;1951;1;Hayır;1;1;0;Nadiren_Seyahat;3;1;12;3;0;Hayır
27;Araştırma ve Geliştirme;2;4;Yaşam Bilimleri;Kadın;1;Boşanmış;2341;1;Hayır;1;1;0;Nadiren_Seyahat;3;1;13;4;0;Hayır
26;Araştırma ve Geliştirme;25;3;Yaşam Bilimleri;Erkek;3;Bekar;2293;1;Hayır;1;1;0;Nadiren_Seyahat;2;1;12;1;1;Evet
27;Satış;8;3;Yaşam Bilimleri;Erkek;3;Bekar;8726;1;Hayır;9;9;1;Sık_Seyahat;3;3;15;4;7;Hayır
30;Araştırma ve Geliştirme;1;2;Tıp;Kadın;4;Bekar;4011;1;Hayır;12;12;3;Sık_Seyahat;3;2;23;3;7;Hayır
41;Araştırma ve Geliştirme;12;3;Teknik Derece;Kadın;3;Evli;19545;1;Hayır;23;22;15;Nadiren_Seyahat;3;5;12;2;8;Evet
34;Satış;23;4;Pazarlama;Erkek;3;Bekar;4568;0;Hayır;10;9;8;Seyahat_Etmiyor;3;2;20;2;7;Hayır
37;Araştırma ve Geliştirme;19;2;Yaşam Bilimleri;Erkek;2;Evli;3022;4;Hayır;8;1;0;Nadiren_Seyahat;3;1;21;2;0;Hayır
46;Satış;5;4;Pazarlama;Erkek;4;Bekar;5772;4;Evet;14;9;0;Sık_Seyahat;3;2;21;1;8;Hayır
35;Araştırma ve Geliştirme;8;1;Yaşam Bilimleri;Erkek;4;Evli;2269;1;Hayır;1;1;0;Nadiren_Seyahat;3;1;19;4;1;Hayır
48;Araştırma ve Geliştirme;1;2;Yaşam Bilimleri;Erkek;3;Bekar;5381;9;Evet;23;1;0;Nadiren_Seyahat;3;3;13;1;0;Evet
28;Araştırma ve Geliştirme;5;4;Teknik Derece;Erkek;3;Bekar;3441;1;Evet;2;2;2;Nadiren_Seyahat;2;1;13;3;2;Evet
44;Satış;1;5;Pazarlama;Kadın;1;Boşanmış;5454;5;Evet;9;4;1;Nadiren_Seyahat;2;2;21;2;3;Hayır
35;Araştırma ve Geliştirme;11;2;Tıp;Erkek;1;Evli;9884;2;Evet;10;4;2;Seyahat_Etmiyor;3;3;13;3;3;Hayır
26;Satış;23;3;Pazarlama;Kadın;4;Evli;4157;7;Evet;5;2;0;Nadiren_Seyahat;2;2;19;3;0;Hayır
33;Araştırma ve Geliştirme;1;2;Yaşam Bilimleri;Kadın;4;Bekar;13458;1;Evet;15;15;8;Sık_Seyahat;3;3;12;1;12;Hayır
35;Satış;18;5;Yaşam Bilimleri;Erkek;1;Evli;9069;1;Hayır;9;9;1;Sık_Seyahat;2;3;22;2;8;Hayır
35;Araştırma ve Geliştirme;23;4;Tıp;Kadın;1;Evli;4014;3;Evet;4;2;2;Nadiren_Seyahat;3;1;15;3;2;Hayır
31;Araştırma ve Geliştirme;7;4;Yaşam Bilimleri;Erkek;4;Boşanmış;5915;3;Hayır;10;7;1;Nadiren_Seyahat;2;2;22;4;7;Hayır
37;Araştırma ve Geliştirme;1;4;Yaşam Bilimleri;Erkek;3;Boşanmış;5993;1;Hayır;7;7;0;Nadiren_Seyahat;4;2;18;1;7;Hayır
32;Araştırma ve Geliştirme;1;3;Tıp;Erkek;4;Evli;6162;1;Evet;9;9;7;Nadiren_Seyahat;3;2;22;1;8;Hayır
38;Araştırma ve Geliştirme;29;5;Yaşam Bilimleri;Kadın;4;Bekar;2406;1;Hayır;10;10;9;Sık_Seyahat;3;2;11;4;9;Hayır
50;Araştırma ve Geliştirme;7;2;Tıp;Kadın;3;Boşanmış;18740;5;Evet;29;27;13;Nadiren_Seyahat;2;5;12;2;8;Hayır
59;Satış;25;3;Yaşam Bilimleri;Kadın;1;Bekar;7637;7;Hayır;28;21;7;Nadiren_Seyahat;2;3;11;1;9;Hayır
36;Araştırma ve Geliştirme;8;3;Teknik Derece;Kadın;3;Boşanmış;10096;1;Hayır;17;17;12;Nadiren_Seyahat;3;3;13;3;8;Hayır
55;Araştırma ve Geliştirme;8;3;Tıp;Kadın;3;Boşanmış;14756;2;Evet;21;5;0;Nadiren_Seyahat;3;4;14;4;2;Hayır
36;Araştırma ve Geliştirme;11;3;Yaşam Bilimleri;Erkek;2;Bekar;6499;1;Hayır;6;6;0;Sık_Seyahat;3;2;13;2;3;Hayır
45;Araştırma ve Geliştirme;7;3;Yaşam Bilimleri;Erkek;1;Boşanmış;9724;2;Hayır;25;1;0;Nadiren_Seyahat;3;3;17;2;0;Hayır
35;Araştırma ve Geliştirme;1;3;Tıp;Erkek;1;Evli;2194;4;Hayır;5;3;1;Sık_Seyahat;2;1;13;2;2;Hayır
36;Araştırma ve Geliştirme;9;3;Tıp;Erkek;3;Evli;3388;0;Evet;2;1;0;Nadiren_Seyahat;2;1;17;4;0;Evet
59;Satış;1;1;Yaşam Bilimleri;Kadın;3;Bekar;5473;7;Hayır;20;4;1;Sık_Seyahat;2;2;11;1;3;Hayır
29;Araştırma ve Geliştirme;2;3;Yaşam Bilimleri;Erkek;2;Evli;2703;0;Hayır;6;5;0;Nadiren_Seyahat;3;1;23;3;4;Hayır
31;Araştırma ve Geliştirme;1;4;Tıp;Erkek;2;Bekar;2501;1;Hayır;1;1;1;Nadiren_Seyahat;3;1;17;3;0;Hayır
32;Araştırma ve Geliştirme;1;3;Yaşam Bilimleri;Erkek;2;Evli;6220;1;Hayır;10;10;0;Nadiren_Seyahat;3;2;17;2;9;Hayır
36;Araştırma ve Geliştirme;6;3;Yaşam Bilimleri;Kadın;4;Evli;3038;3;Hayır;5;1;0;Nadiren_Seyahat;3;1;12;2;0;Hayır
31;Araştırma ve Geliştirme;8;4;Yaşam Bilimleri;Kadın;4;Bekar;4424;1;Hayır;11;11;1;Nadiren_Seyahat;3;2;23;3;8;Hayır
35;Satış;1;4;Pazarlama;Erkek;1;Bekar;4312;0;Hayır;16;15;2;Nadiren_Seyahat;3;2;14;3;8;Hayır
45;Araştırma ve Geliştirme;6;4;Diğer;Erkek;1;Evli;13245;4;Evet;17;0;0;Nadiren_Seyahat;4;3;14;4;0;Hayır
37;Araştırma ve Geliştirme;7;4;Tıp;Erkek;3;Bekar;13664;4;Hayır;16;5;0;Nadiren_Seyahat;4;3;13;1;2;Hayır
46;İnsan Kaynakları;5;2;Tıp;Erkek;2;Boşanmış;5021;8;Evet;16;4;0;Nadiren_Seyahat;3;2;22;2;2;Hayır
30;Araştırma ve Geliştirme;1;1;Yaşam Bilimleri;Erkek;4;Evli;5126;1;Evet;10;10;3;Nadiren_Seyahat;2;2;12;4;0;Hayır
35;Araştırma ve Geliştirme;1;3;Tıp;Erkek;3;Bekar;2859;1;Hayır;6;6;0;Nadiren_Seyahat;3;1;18;2;4;Hayır
55;Satış;1;2;Yaşam Bilimleri;Erkek;4;Evli;10239;3;Hayır;24;1;1;Nadiren_Seyahat;3;3;14;1;0;Hayır
38;Araştırma ve Geliştirme;6;3;Tıp;Kadın;4;Boşanmış;5329;7;Evet;17;13;1;Seyahat_Etmiyor;3;2;12;2;9;Hayır
34;Araştırma ve Geliştirme;1;2;Tıp;Erkek;2;Evli;4325;1;Hayır;5;5;1;Nadiren_Seyahat;3;2;15;1;3;Hayır
56;Araştırma ve Geliştirme;7;3;Yaşam Bilimleri;Erkek;4;Bekar;7260;4;Hayır;37;6;0;Nadiren_Seyahat;2;3;11;4;2;Hayır
23;Satış;2;1;Teknik Derece;Erkek;1;Boşanmış;2322;3;Hayır;3;0;0;Nadiren_Seyahat;3;1;13;3;0;Hayır
51;Araştırma ve Geliştirme;9;4;Yaşam Bilimleri;Erkek;4;Evli;2075;3;Hayır;10;4;0;Nadiren_Seyahat;3;1;23;4;3;Hayır
30;Araştırma ve Geliştirme;2;3;Yaşam Bilimleri;Erkek;4;Evli;4152;1;Hayır;11;11;10;Nadiren_Seyahat;3;2;19;3;8;Hayır
46;Satış;9;2;Tıp;Erkek;4;Bekar;9619;1;Hayır;9;9;4;Nadiren_Seyahat;3;3;16;3;7;Evet
40;Araştırma ve Geliştirme;1;4;Yaşam Bilimleri;Erkek;2;Evli;13503;1;Hayır;22;22;11;Sık_Seyahat;2;4;22;3;11;Hayır
51;Satış;21;4;Pazarlama;Erkek;4;Bekar;5441;0;Evet;11;10;1;Nadiren_Seyahat;1;2;22;3;0;Hayır
30;Satış;4;2;Tıp;Kadın;2;Boşanmış;5209;1;Evet;11;11;2;Nadiren_Seyahat;2;2;12;3;7;Hayır
46;Araştırma ve Geliştirme;1;3;Tıp;Erkek;1;Evli;10673;2;Evet;21;10;9;Sık_Seyahat;2;3;13;3;5;Hayır
32;Satış;6;4;Tıp;Erkek;3;Bekar;5010;1;Hayır;12;11;5;Nadiren_Seyahat;3;2;16;2;7;Hayır
54;Araştırma ve Geliştirme;2;4;Teknik Derece;Kadın;3;Evli;13549;9;Hayır;16;4;0;Nadiren_Seyahat;1;3;12;1;3;Hayır
24;Satış;3;2;Diğer;Kadın;3;Evli;4999;0;Hayır;4;3;0;Nadiren_Seyahat;2;2;21;1;2;Hayır
28;Satış;4;3;Tıp;Erkek;3;Evli;4221;1;Hayır;5;5;0;Seyahat_Etmiyor;4;2;15;2;4;Hayır
58;Satış;10;4;Tıp;Erkek;3;Bekar;13872;0;Hayır;38;37;1;Nadiren_Seyahat;2;4;13;4;8;Hayır
44;Araştırma ve Geliştirme;23;3;Tıp;Erkek;2;Evli;2042;4;Hayır;17;3;1;Seyahat_Etmiyor;4;2;12;2;2;Hayır
37;İnsan Kaynakları;6;4;İnsan Kaynakları;Erkek;1;Boşanmış;2073;4;Evet;7;3;0;Nadiren_Seyahat;3;1;22;3;2;Evet
32;Araştırma ve Geliştirme;1;1;Yaşam Bilimleri;Erkek;1;Bekar;2956;1;Hayır;1;1;0;Nadiren_Seyahat;3;1;13;4;0;Hayır
20;Araştırma ve Geliştirme;6;3;Yaşam Bilimleri;Kadın;4;Bekar;2926;1;Evet;1;1;1;Sık_Seyahat;3;1;18;4;0;Evet
34;Araştırma ve Geliştirme;6;4;Diğer;Kadın;3;Bekar;4809;1;Hayır;16;16;2;Nadiren_Seyahat;3;2;14;1;10;Hayır
37;Araştırma ve Geliştirme;2;2;Yaşam Bilimleri;Erkek;4;Boşanmış;5163;5;Hayır;17;1;0;Seyahat_Etmiyor;4;2;14;3;0;Hayır
59;İnsan Kaynakları;2;4;İnsan Kaynakları;Kadın;4;Evli;18844;9;Hayır;30;3;2;Seyahat_Etmiyor;3;5;21;3;2;Hayır
50;Araştırma ve Geliştirme;1;3;Yaşam Bilimleri;Kadın;2;Evli;18172;3;Evet;28;8;0;Sık_Seyahat;2;5;19;1;7;Hayır
25;Satış;5;3;Pazarlama;Erkek;3;Bekar;5744;1;Evet;6;6;0;Nadiren_Seyahat;3;2;11;3;3;Evet
25;Araştırma ve Geliştirme;7;1;Tıp;Erkek;4;Evli;2889;1;Hayır;2;2;2;Nadiren_Seyahat;3;1;11;4;1;Hayır
22;Araştırma ve Geliştirme;15;3;Tıp;Kadın;4;Bekar;2871;1;Hayır;1;0;0;Nadiren_Seyahat;3;1;15;2;0;Hayır
51;Araştırma ve Geliştirme;1;4;Tıp;Kadın;1;Bekar;7484;3;Hayır;23;13;12;Sık_Seyahat;2;3;20;1;8;Hayır
34;Araştırma ve Geliştirme;7;3;Yaşam Bilimleri;Erkek;3;Bekar;6074;1;Evet;9;9;0;Sık_Seyahat;3;2;24;1;6;Evet
54;İnsan Kaynakları;26;3;İnsan Kaynakları;Kadın;4;Bekar;17328;2;Evet;23;5;4;Seyahat_Etmiyor;3;4;12;4;4;Hayır
24;Araştırma ve Geliştirme;18;1;Yaşam Bilimleri;Erkek;3;Evli;2774;0;Hayır;6;5;1;Nadiren_Seyahat;3;1;12;2;2;Hayır
34;Araştırma ve Geliştirme;6;4;Yaşam Bilimleri;Kadın;2;Boşanmış;4505;6;Hayır;12;1;0;Nadiren_Seyahat;3;2;15;3;0;Hayır
37;Satış;3;3;Yaşam Bilimleri;Erkek;4;Bekar;7428;2;Hayır;12;5;1;Nadiren_Seyahat;3;3;12;3;3;Hayır
34;Araştırma ve Geliştirme;5;3;Tıp;Kadın;1;Bekar;11631;2;Hayır;14;11;5;Nadiren_Seyahat;3;3;12;3;8;Hayır
36;Satış;11;2;Teknik Derece;Kadın;4;Evli;9738;0;Hayır;10;9;2;Sık_Seyahat;3;3;14;2;8;Hayır
36;Araştırma ve Geliştirme;3;2;Yaşam Bilimleri;Kadın;4;Boşanmış;2835;5;Hayır;7;1;0;Nadiren_Seyahat;3;1;22;1;0;Hayır
43;Satış;26;2;Yaşam Bilimleri;Erkek;4;Evli;16959;1;Evet;25;25;4;Sık_Seyahat;4;4;12;3;12;Hayır
30;Araştırma ve Geliştirme;23;3;Yaşam Bilimleri;Erkek;3;Boşanmış;2613;1;Hayır;10;10;0;Sık_Seyahat;2;1;25;1;9;Hayır
33;Satış;22;2;Pazarlama;Erkek;2;Evli;6146;0;Hayır;8;7;0;Seyahat_Etmiyor;4;2;13;3;7;Hayır
56;Araştırma ve Geliştirme;14;4;Yaşam Bilimleri;Kadın;2;Evli;4963;9;Evet;7;5;4;Nadiren_Seyahat;3;1;18;2;3;Evet
51;Araştırma ve Geliştirme;6;3;Yaşam Bilimleri;Erkek;3;Bekar;195537;7;Hayır;23;20;15;Nadiren_Seyahat;3;5;13;1;15;Hayır
31;Satış;6;4;Yaşam Bilimleri;Erkek;3;Evli;6172;4;Evet;12;7;7;Nadiren_Seyahat;2;2;18;2;7;Evet
26;Araştırma ve Geliştirme;6;3;Diğer;Kadın;2;Evli;2368;1;Hayır;5;5;4;Nadiren_Seyahat;2;1;19;3;3;Hayır
58;Araştırma ve Geliştirme;23;4;Tıp;Kadın;4;Evli;10312;1;Hayır;40;40;15;Nadiren_Seyahat;2;3;12;4;6;Evet
19;Satış;22;1;Pazarlama;Erkek;3;Bekar;1675;1;Evet;0;0;0;Nadiren_Seyahat;2;1;19;4;0;Evet
22;Araştırma ve Geliştirme;2;1;Teknik Derece;Erkek;4;Evli;2523;0;Hayır;3;2;2;Nadiren_Seyahat;3;1;14;3;1;Hayır
49;Araştırma ve Geliştirme;20;4;Tıp;Kadın;1;Evli;6567;1;Hayır;16;15;5;Nadiren_Seyahat;2;2;14;3;11;Hayır
43;Araştırma ve Geliştirme;28;3;Tıp;Kadın;3;Bekar;4739;4;Hayır;18;3;1;Sık_Seyahat;3;1;12;2;2;Hayır
50;Satış;12;3;Pazarlama;Kadın;4;Bekar;9208;4;Hayır;16;2;2;Sık_Seyahat;3;3;11;3;1;Hayır
31;Satış;20;3;Yaşam Bilimleri;Kadın;3;Evli;4559;3;Evet;4;2;2;Nadiren_Seyahat;3;2;11;2;2;Evet
41;Satış;9;1;Yaşam Bilimleri;Erkek;3;Boşanmış;8189;3;Evet;12;9;0;Nadiren_Seyahat;3;3;13;3;7;Hayır
26;İnsan Kaynakları;25;1;Yaşam Bilimleri;Kadın;3;Evli;2942;1;Hayır;8;8;5;Nadiren_Seyahat;3;1;23;3;7;Hayır
36;Araştırma ve Geliştirme;6;2;Tıp;Erkek;2;Boşanmış;4941;6;Hayır;7;3;0;Nadiren_Seyahat;3;2;20;2;1;Hayır
51;Araştırma ve Geliştirme;8;4;Yaşam Bilimleri;Erkek;4;Bekar;10650;2;Hayır;18;4;0;Sık_Seyahat;3;3;15;1;3;Evet
39;Satış;4;4;Yaşam Bilimleri;Kadın;3;Evli;5902;4;Hayır;17;15;5;Nadiren_Seyahat;4;2;14;4;9;Hayır
25;Satış;28;3;Yaşam Bilimleri;Erkek;3;Evli;8639;2;Hayır;6;2;2;Nadiren_Seyahat;3;2;18;1;2;Hayır
30;İnsan Kaynakları;9;3;İnsan Kaynakları;Erkek;4;Evli;6347;0;Evet;12;11;4;Nadiren_Seyahat;1;2;19;3;7;Hayır
32;Araştırma ve Geliştirme;9;3;Tıp;Kadın;1;Bekar;4200;7;Hayır;10;5;0;Nadiren_Seyahat;4;1;22;1;4;Evet
45;Araştırma ve Geliştirme;29;3;Tıp;Erkek;4;Bekar;3452;5;Hayır;9;6;0;Nadiren_Seyahat;2;1;13;3;3;Hayır
38;Araştırma ve Geliştirme;3;5;Teknik Derece;Kadın;3;Bekar;4317;3;Evet;19;3;2;Nadiren_Seyahat;3;2;20;4;2;Hayır
30;Araştırma ve Geliştirme;18;3;Yaşam Bilimleri;Kadın;3;Bekar;2632;1;Hayır;5;5;0;Nadiren_Seyahat;2;1;14;1;4;Hayır
32;Satış;9;2;Tıp;Erkek;4;Boşanmış;4668;0;Hayır;9;8;0;Sık_Seyahat;4;2;17;4;7;Hayır
30;Araştırma ve Geliştirme;5;3;Teknik Derece;Kadın;1;Boşanmış;3204;5;Hayır;8;3;2;Nadiren_Seyahat;3;1;14;4;2;Hayır
30;Araştırma ve Geliştirme;2;1;Tıp;Erkek;4;Bekar;2720;0;Hayır;6;5;1;Nadiren_Seyahat;3;1;13;2;2;Hayır
41;Araştırma ve Geliştirme;10;3;Yaşam Bilimleri;Erkek;1;Boşanmış;17181;4;Hayır;21;7;7;Sık_Seyahat;2;4;13;4;7;Hayır
41;Araştırma ve Geliştirme;9;4;Yaşam Bilimleri;Erkek;1;Evli;2238;2;Hayır;7;5;1;Nadiren_Seyahat;3;1;21;3;4;Hayır
19;Araştırma ve Geliştirme;3;1;Tıp;Kadın;2;Bekar;1483;1;Hayır;1;1;0;Nadiren_Seyahat;3;1;14;2;0;Hayır
40;Araştırma ve Geliştirme;26;3;Tıp;Kadın;2;Boşanmış;5605;1;Hayır;20;20;2;Sık_Seyahat;3;2;11;2;13;Hayır
35;Satış;1;5;Pazarlama;Erkek;2;Evli;7295;1;Hayır;10;10;0;Nadiren_Seyahat;3;3;13;3;6;Hayır
53;Satış;6;2;Pazarlama;Erkek;3;Evli;2306;2;Evet;13;7;4;Nadiren_Seyahat;1;2;20;2;5;Hayır
45;Araştırma ve Geliştirme;9;3;Yaşam Bilimleri;Erkek;2;Boşanmış;2348;8;Hayır;20;17;0;Nadiren_Seyahat;1;2;18;2;15;Hayır
32;Satış;8;3;Pazarlama;Kadın;4;Bekar;8998;1;Hayır;9;9;3;Sık_Seyahat;3;3;14;2;7;Hayır
29;Araştırma ve Geliştirme;1;1;Teknik Derece;Erkek;3;Evli;4319;1;Hayır;10;10;0;Seyahat_Etmiyor;3;2;13;4;9;Hayır
51;Araştırma ve Geliştirme;7;4;Tıp;Erkek;3;Evli;6132;2;Hayır;10;1;0;Nadiren_Seyahat;3;2;17;2;0;Hayır
58;Araştırma ve Geliştirme;9;3;Tıp;Kadın;2;Evli;3346;4;Evet;9;1;0;Nadiren_Seyahat;2;1;20;2;0;Hayır
40;Satış;4;4;Pazarlama;Erkek;4;Evli;10855;7;Hayır;15;12;2;Nadiren_Seyahat;2;3;11;3;11;Hayır
34;Satış;2;4;Pazarlama;Kadın;3;Evli;2231;6;Hayır;6;4;1;Sık_Seyahat;3;1;18;3;2;Hayır
22;Araştırma ve Geliştirme;19;1;Tıp;Erkek;4;Evli;2323;1;Hayır;2;2;2;Nadiren_Seyahat;3;1;24;3;2;Hayır
27;Araştırma ve Geliştirme;9;3;Tıp;Erkek;2;Boşanmış;2024;6;Hayır;6;2;2;Seyahat_Etmiyor;1;1;18;4;2;Hayır
28;Araştırma ve Geliştirme;21;3;Tıp;Erkek;4;Evli;2713;1;Hayır;5;5;0;Nadiren_Seyahat;1;1;11;3;2;Hayır
57;NaN;24;2;Yaşam Bilimleri;Erkek;4;Boşanmış;9439;3;Evet;12;5;1;Nadiren_Seyahat;1;3;16;3;4;Hayır
27;Araştırma ve Geliştirme;3;3;Tıp;Erkek;3;Boşanmış;2566;1;Evet;1;1;0;Seyahat_Etmiyor;2;1;15;3;1;Hayır
50;Araştırma ve Geliştirme;11;3;Yaşam Bilimleri;Kadın;2;Bekar;19926;3;Hayır;21;5;4;Nadiren_Seyahat;3;5;15;3;4;Hayır
41;Araştırma ve Geliştirme;14;3;Yaşam Bilimleri;Erkek;3;Boşanmış;2451;4;Hayır;13;9;1;Nadiren_Seyahat;3;1;12;1;8;Hayır
30;Satış;5;3;Yaşam Bilimleri;Kadın;4;Evli;9419;2;Hayır;12;10;7;Nadiren_Seyahat;3;3;12;2;4;Hayır
38;Satış;1;4;Yaşam Bilimleri;Kadın;4;Bekar;8686;4;Hayır;12;8;0;Nadiren_Seyahat;4;2;22;1;7;Hayır
